Name of Medicine,Reference text,Dispensing Pack Size,Main Indications,Dose,Precaution/ Contraindication,Preferred use (OPD/ IPD),Class,English_Text
Khadirarishta,AFI,200 ml,"Tvak Roga, Kushtha,
Krimi, Arbuda",12 - 24 ml,NS,Both,A,"skin disease, skin disease, worms, Arbuda"
"Lodhrasava/Rodh
rasava",AFI,200 ml,"Prameha, Pradara, Arsha
Garbhasayaroga,",12 - 24 ml,NS,Both,A,"diabetes, Leucorrhoea, Haemation
Fetus, "
Lohasava,AFI,200 ml,"Pandu, Kamala, Shotha,
Hridroga, Daurbalya",12 - 24 ml,NS,Both,A,"anemia, jaundice, swelling, heart disease, Richness"
Mustakarishta,AFI,200 ml,"Agnimandya, Ajirna, Grahaniroga, Visuchika",12 - 24 ml,NS,Both,A,"Fire, indigestion, Reception, Vicupika"
Pippalyadyasava,AFI,200 ml,"Grahaniroga, Agnimandya, Gulma,
Udararoga,",12   -   24   ml,NS,Both,A,"Reception, Fire, abdominal tumor, abdominal disease, "
Rohitakarishta,AFI,200 ml,"Pliha, Udararoga, Gulma,
Kamala",12   -   24   ml,NS,Both,A,"Spleen, abdominal disease, abdominal tumor, jaundice"
Sarasvatarishta,AFI,200 ml,"Apasmara, Manasa Dosha, Smritibhransha,
Udvega",12   -   24   ml,NS,Both,A,"epilepsy, Mansa dosha, Memory, Urge"
Ushirasava,AFI,200 ml,"Pittajaroga, Daha, Trisha,
Pittaja Netravyadhi",12   -   24   ml,NS,Both,A,"Biliary, burning sensation, Trish, Pittle"
Vasakasava,AFI,200 ml,"Kasa, Shvasa, Raktapitta",12   -   24   ml,NS,Both,A,"cough, Breathing, bleeding disorder"
Punarnavasava,AFI,200 ml,"Shotha, Pliha- Yakridroga,
Mutraroga",12   -   24   ml,NS,Both,A,"swelling, Spleen, Urinary"
"Arka  Yavani/Arka
Ajvayana",AFI,50 ml,"Trikshula, Agnimandya,
Anaha,",10 -  25 ml,NS,Both,B,"Esophagus, Fire, bloating, "
"Arka Shatpushpa/
Mishr eyarka",AFI,50 ml,"Mandagni, Adhamana,
Shula, Krimi,Yonishula",10 -  25 ml,NS,Both,B,"Retardation, Unseen, pain, worms, Vaginal"
Arka Pudina,AFI,50 ml,"Chhardi, Ajirna,
Udarashula, Agnimandya",10 -  25 ml,NS,Both,B,"Nominee, indigestion, Abdominal, Fire"
"Agastya Haritaki
/ Agastya Rasayana",AFI,"100
gm","Hikka, Kasa, Shvasa, Rasayana",5 -   15 gm,NS,Both,C,"hiccups, cough, Breathing, rejuvenation therapy"
Bilvadi Leha,AFI,"100
gm","Jirna Pravahika, Aruchi,
Agnimandya, Praseka, Chhardi",10 - 50 gm,NS,Both,C,"Chronic, anorexia, Fire, Prasaka, Nominee"
Brahama Rasayana,AFI,"100
gm","Manodaurbalya, Jara,
Smritibhransha",10-15 gm,NS,Both,C,"Manodorbaliya, just, Memory"
Chitraka Haritaki,AFI,"100
gm","Pinasa, Kasa, Shvasa,",10 - 50 gm,"Pregnancy, Pitta Prakriti, Paittika
Roga",Both,C,"chronic rhinitis, cough, Breathing, "
"Chyavanprash
Avaleha",AFI,"100
gm","Kasa,Shvasa, Rasayana",12-24 gm,NS,Both,C,"cough, Breathing, rejuvenation therapy"
Drakshavaleha,AFI,"100
gm","Pandu, Kamala, Halimaka, Daurbalya,
Kshaya",6-12 gm,NS,Both,C,"anemia, jaundice, Halim, Richness, phthisis"
"Haridrakhanda
Paka",AFI,"100
gm","Shitapitta, Kandu
Visphota, Dadru,Udarda, Kotha",6 gm,NS,Both,C,"Hive, Kandu
Explosion, tinea, Elaborate, urticaria"
Kutajavaleha,AFI,"100
gm","Atisara, Grahaniroga,
Pravahika",6 -12 gm,NS,Both,C,"diarrhea, Reception, Percussion"
Kalyanak Guda,AFI,"100
gm","Udararoga, Gulma,
Bhagandar, Arsha",6-12 gm,NS,Both,C,"abdominal disease, abdominal tumor, Fleet, piles"
Kantakaryavaleha,AFI,"100
gm","Hikka, Kasa, Shvasa, Jirna Pratishaya,
Parshvashula",6-12 gm,NS,Both,C,"hiccups, cough, Breathing, Chronic, Lateral"
Kushmandaka Rasayana,AFI,"100
gm","Kasa, Shvasa, Urahkshata, Kshaya,
Raktapitta, Amlapitta",6-12 gm,NS,Both,C,"cough, Breathing, Fertile, phthisis, bleeding disorder, acid reflux"
Puga Khanda/ Supari Paka,AFI,"100
gm","Vandhyaroga, Pradara, Somaroga, Garbhadosha,
Daurbalya",6-12 gm,NS,Both,C,"Vandhyaroga, Leucorrhoea, Somorog, Pregnancy, Richness"
Saubhagyashunthi Paka,AFI,"100
gm","Prasavottara Lakshana, Sutikaroga,
Agnimandya,",10-50 gm,NS,Both,C,"Post -subsequent symptom, Sorialism, Fire, "
Shatavariguda,AFI,"100
gm","Rajodosha, Yonidosha, Asrigdara, Padadaha,
Karshya",6 -12 gm,NS,Both,C,"Rajodosh, Vagina, Unprocessed, Post:, Karm"
Vasavaleha,AFI,"100
gm","Kasa , Shvasa, Jvara,
Parshvashula",6-12 gm,Pregnancy,Both,C,"cough, Breathing, fever, Lateral"
Vyaghri Haritaki,AFI,"100
gm","Kasa, Shvasa,
Svarakshaya, Pratishyaya, Pinasa",6-12 gm,Pregnancy,Both,C,"cough, Breathing, Virtue, Renunciation, chronic rhinitis"
Punarnavadi Kashayam,AFI,"100
gm","Jvara, Kasa, Shotha",6-12 gm,NS,Both,D,"fever, cough, swelling"
Vyaghryadi Kashayam,AFI,"100
gm","Jvara, Kasa, Pinasa",6-12 gm,NS,Both,D,"fever, cough, chronic rhinitis"
Dashamula Kvatha Churna,AFI,"100
gm","Jvara, Sutikadosha, Shula, Shotha, Vatavyadhi",25-50 ml,"Rasaksh aya, Bahumu
trata",Both,D,"fever, Suttadosha, pain, swelling, nervous disorders"
"Dashmula Katutraya
Kvatha Churna",AFI,"100
gm","Shvasa,Kasa,Parshva
shula, Vataroga",25-50 ml,NS,Both,D,"Breathing, cough, Latent
Shukla, Arthritis"
"Dhanyapanchaka
Kashaya Churna",AFI,"100
gm","Amashula, Amatisara,
Agnimandya, Aruchi",25-50 ml,NS,Both,D,"Mamshula, Amatisar, Fire, anorexia"
"Guduchyadi Kashaya
Churna",AH,100gm,"Agnimandhya, Pitta
Dushti, Jvara",25-50 ml,NS,Both,D,"Fire, Bile
Vision, fever"
"Indukantam
Kashayam Churna",SY,"100
gm","Vata Roga,Kshaya",25-50 ml,NS,Both,D,"Arthritis, phthisis"
Pancha-valkala Kashaya Churna,SS,"100
gm","Vranashotha,Upadan sha, Shveta Pradara","100 ml Kvatha for washing wound/
vaginal douche",NS,Both,D,"Ulceration, Subdivision, White leucorrhoea"
Pathyadi Kvatha(Shadanga) Churna,AFI,"100
gm","Shiroroga, Bhru- shankha-Karna Shula, Ardhavbhedaka,
Suryavarta",25-50 ml,"Chhardi, Atisara, Ativirechanajanya Rasakshaya, Vataprakopa",Both,D,"headache, Bhru-Shankh-Karna Shula, Seminal, Suryavarta"
Phalatrikadi Kvatha Churna,AFI,"100
gm","Kamala, Pandu",25-50 ml,"Chhardi, Atisara, Ativirec hana janya Rasaksh aya, Vatapra
kopa",Both,D,"jaundice, anemia"
Rasnasaptaka Kashaya Churna,AFI,"100
gm","Janghashula, Urushula, Parshvashula, Trikshula, Prishashula",25-50 ml,"Concom itant use of Eranda Taila in
Garbhini",Both,D,"Jaghshukla, Urushula, Lateral, Esophagus, Princely"
Shadanga Kvatha Churna,AFI,"100
gm","Trishna,Jvara",25-50 ml,"Nausea
due to bitterness",Both,D,"thirst, fever"
"Trinapanchamula
Kvatha Churna",AFI,"100
gm",Mutrakricchra,25-50 ml,NS,Both,D,Urinary
Varunadi Kvatha Churna,AFI,"100
gm","Ashmari, Mutrasthila",25-50 ml,NS,Both,D,"kidney stones, Mutrastilla"
"Vasaguduchyadi
Kashaya Churna",AH,100gm,"Pandu, Raktapitta",25-50 ml,NS,Both,D,"anemia, bleeding disorder"
Amritadi Guggulu,BR,10 gm,"Vata Rakta,
Dushtavrana, Charma Vikara","500 mg - 1
gm","Long term
use in pregnancy",Both,E,"Gout, Wicked, Skin disorder"
Gokshuradi Guggulu,AFI,10 gm,"Prameha, Mutrakricchra, Mutraghata, Ashmari,
Pradara","500 mg  - 1
gm",Long term use in pregnancy,Both,E,"diabetes, Urinary, Urinary, kidney stones, Leucorrhoea"
Kanchanara Guggulu,AFI,10 gm,"Galaganda, Gandamala, Apachi, Arbuda, Granthi","500 mg  - 1
gm","Long term
use in pregnancy",Both,E,"goiter, scrofula, Uttar, Arbuda, Gland"
Kaishora Guggulu,AFI,10 gm,"Vatashonita, Pramehapidika, Vrana,
Kustha",Up - 3 gm,"Long term use in
pregnancy",Both,E,"Aerlasis, Penetration, Otherwise, Kosty"
Lakshadi Guggulu,AFI,10 gm,"Asthibhagna, Asthichyuti, Asthiruja",Up - 3 gm,"Long term
use in pregnancy",Both,E,"Bone, Objective, Astrological"
Navak Guggulu,BR,10 gm,"Sthaulya, Sandhigata Vata",500 mg  - 1 gm,"Long term use in
pregnancy",Both,E,"Stabilization, Condensation"
Rasna Guggulu,SS,10 gm,"Gridhrasi, Amavata",500 mg  - 1 gm,"Long term use in
pregnancy",Both,E,"sciatica, rheumatoid arthritis"
Simhanada Guggulu,AFI,10 gm,"Amavata, Vatarakta, Sandhi Shula,
Agnimandya",Up to 3 gm in divided doses,Pregnancy,Both,E,"rheumatoid arthritis, gout, Sandhi Shukla, Fire"
"Saptavinshati
Guggulu",AFI,10 gm,"Parshvashula,Kasa
Shvasa, Hritshula","Up to 3 gm in divided
doses",Pregnancy,Both,E,"Lateral, How?
Breathing, Hutshula"
Triphala Guggulu,AFI,10 gm,"Bhagandara, Arsha, Nadi Vrana, Gulma, Shotha",Up to 3 gm in divided doses,"Pregnancy Chronic or recurrent
diarrhoea",Both,E,"fistula, piles, River or else, abdominal tumor, swelling"
"Trayodashanga
Guggulu",AFI,10 gm,"Gridhrasi,
Sandhigraha, Katigraha","Up to 3 gm in
divided doses",Pregnancy,Both,E,"sciatica, Treaty, Katigraha"
Punarnava Guggulu,AFI,10 gm,"Vatarakta, Vriddhiroga, Gridhrasi,Vastigatas
hula, Amavata",Up to 3 gm in divided doses,Pregnancy,Both,E,"gout, Aged person, sciatica, Westingetus
Hula, rheumatoid arthritis"
Yogaraja Guggulu,AFI,10 gm,"Amavata, Agnimandya, Sandhigatavata",Up to 3 gm in divided doses,Pregnancy,Both,E,"rheumatoid arthritis, Fire, Treaty"
Brahmi Ghrita,AFI,100 gm,"Apasmara, Unmada, Smritikshaya,
Budhidaurbalya",10 - 15 gm,NS,Both,F,"epilepsy, insanity, Smarter, Intellectual"
Dadimadi Ghrita,AFI,100 gm,"Pandu,  Parinamshula,
Agnimandya",10-15 gm,NS,Both,F,"anemia, Consequence, Fire"
Guggulutiktaka Ghrita,AH,100gm,Vata Roga,5-10 gm,NS,Both,F,Arthritis
Jathyadi Ghrita,AH,100gm,"Vrana, Dagdha Vrana",To be applied on affected part,NS,Both,F,"Otherwise, Dagdha varna"
Kalyanaka Ghrita,AFI,100 gm,"Bhutonmada, Apsmara,Balagraha, Visavikara, Garavisha,
Smritidaurbalya",10-15 gm,NS,IPD,F,"Ghost, Disarray, Children's home, Viswikara, artificial poisoning, Memory"
"Kshirashatpala
Ghrita",CS,100 gm,"Gulma, Grahaniroga,
Pliha",Up to 50 gm,NS,IPD,F,"abdominal tumor, Reception, Spleen"
Panchatikta Ghrita,AFI,100 gm,"Dushtavrana, Tvak
Vikara",5-10 gm,NS,Both,F,"Wicked, Skin
Disorder"
Phala Ghrita,AFI,100 gm,Yonivyapat,10-15 gm,NS,IPD,F,Vaginal
Shatavaryadi Ghrita,SY,100 gm,Mutraghata,10-15 gm,NS,IPD,F,Urinary
Sukumar Ghrita,AFI,100 gm,"Vidvibandha, Udararoga, Gulma,
Yonishula,  Pliharoga",10-15 gm,NS,Both,F,"Scholar, abdominal disease, abdominal tumor, Vaginal, Pleasant"
Indu kanta Ghrita,AFI,100 gm,"Shula, Udara, Vishama
Jvara",10-15 gm,NS,IPD,F,"pain, Dawn, Odd
Jawara"
Tiktaka Ghrita,AH,100 gm,Tvakroga,10-15 gm,NS,Both,F,Torrent
Triphala Ghrita,AFI,100 gm,"Kamala, Timira, Netraroga, Visarpa,
Khalitya",10-15 gm,NS,Both,F,"jaundice, cataract, eye disease, erysipelas, baldness"
"Ajamodadi
Churna",AFI,25 gm,"Shula, Gridhrasi,
Amvata",3-6 gm,NS,,G,"pain, sciatica, Amvata"
Avipattikara Churna,AFI,50 gm,"Amlapitta,
Vidagdhajirna",3-6 gm,NS,,G,"acid reflux, Odd"
"Balachaturbhadra
Churna",AFI,25 gm,"Jvara, Atisara, Bala
Shosha",250 - 500 mg,NS,,G,"fever, diarrhea, Bala
Shoosha"
Bilvadi Churna,CA(U),50 gm,"Shotha,Shula Yukta
Bradhna",3-6 gm,NS,,G,"swelling, Chula yukta
Bradhana"
Dadimastak Churna,AFI,50 gm,"Grahaniroga, Atisara,
Aruchi",3-6 gm,NS,,G,"Reception, diarrhea, anorexia"
"Dashanasanskara
Churna",AFI,50 gm,"Mukha Roga, Danta
Roga",Use as tooth powder,NS,,G,"Oral disease, Scolding
Disease"
Eladi Churna,AFI,25 gm,"Kasa, Shvasa",2 -4 gm,NS,,G,"cough, Breathing"
"Hingvashtaka
Churna",AFI,50 gm,"Agnimandya, Shula,
Gulma,Vataroga",2- 4 gm,NS,,G,"Fire, pain, abdominal tumor, Arthritis"
Lavanabhaskara Churna/ Bhaskarlavan churna,AFI,50 gm,"Agnimandya, Gulma, Ajirna, Grahaniroga, Vatakaphajaroga,",3-6 gm,"Shotha, Jalodara, hyperten sion, long
term use",,G,"Fire, abdominal tumor, indigestion, Reception, Vapor, "
"Nisha-Amalaki
Churna",AH,50 gm,"Prameha, Madhumeha",3-6 gm,NS,,G,"diabetes, diabetes"
Pushyanuga Churna,AFI,25 gm,"Raktapradara,
Shwetapradara, Raktarsha",2-3 gm,NS,,G,"Blood pressure, White, Bloody"
Panchanimba Churna,AFI,25 gm,"Kshudrakushtha, Mahakushtha,
Raktadushti",3- 5 gm,NS,,G,"Petty, Mahakusht, Bloodstream"
Sitopaladi Churna,AFI,25 gm,"Shvasa, Kasa, Kshaya,
Urdhvaga  Raktapitta",2-3gm,NS,,G,"Breathing, cough, phthisis, Vertical blood"
Talishadya Churna,AFI,25 gm,"Kasa, Shvasa,
Pratishyaya, Jvara",2-4 gm,NS,,G,"cough, Breathing, Renunciation, fever"
Trikatu Churna,AFI,25 gm,"Arochaka, Ama, Agnimandya",1-2 gm,"Paittika Vikara or Prakriti, Raktaj Roga, pregnancy
, long
term use",,G,"Arochechak, Malay, Fire"
Triphala Churna,AFI,50 gm,"Anaha, Prameha,
Netraroga",3-6 gm,"Dehydra
-tion",,G,"bloating, diabetes, eye disease"
Jatiphaladya Churna,AFI,25 gm,"Atisara, Pravahika, Vatashlaismika Pratishyaya",1-3 gm,"Infantile, diarrhea, long term
use",,G,"diarrhea, Percussion, Aero"
Amalaki Churna,API,50 gm,"Prameha, Raktapitta,
Amlapitta,Daha",3-6 gm,NS,Both,H,"diabetes, bleeding disorder, acid reflux, burning sensation"
Arjuna Churna,API,50 gm,"Hridroga, Prameha",3-6 gm,NS,Both,H,"heart disease, diabetes"
Ashvagandha Churna,API,50 gm,"Kshaya, Daurbalya, Vatroga,Klaivya",3-6 gm,"Long term use may increase blood
pressure",Both,H,"phthisis, Richness, Arthritis, Clavy"
Gokshura Churna,API,50 gm,"Mutraghata,
Mutrashmari, Vrishya, Rasayana",2-5 gm,NS,Both,H,"Urinary, Bladder, Virus, rejuvenation therapy"
Guduchi Churna,API,50 gm,"Kushtha, Jvara,Vatarakta,Kam
ala,Pandu, Prameha",3-6 gm,NS,Both,H,"skin disease, fever, gout, Work
Weapon, anemia, diabetes"
Haritaki Churna,API,50 gm,"Vibandha, Udararoga",3-6 gm,"Debility, pregnancy, dehydration
, Paittika Roga,",Both,H,"Bibban, abdominal disease"
Pippali Churna,API,25 gm,"Rasayana, Jvara, Shvasa, Kasa",1-2 gm,"Long term use in higher
doses",Both,H,"rejuvenation therapy, fever, Breathing, cough"
Pippali mula Churna,API,25 gm,"Udararoga, Anaha,
Gulma, Shiroroga",500mg -1 gm,NS,Both,H,"abdominal disease, bloating, abdominal tumor, headache"
Punarnava Churna,API,50 gm,"Shotha, Pandu",2-3 gm,NS,Both,H,"swelling, anemia"
Shunthi Churna,API,25 gm,"Amavata, Agnimandya
Udararoga,Shvasa",2- 3 gm,NS,Both,H,"rheumatoid arthritis, Fire
Abdominal, Breathing"
Sarasvata Churna,BR,25 gm,"Medhya, Smriti and
Buddhi Vardhaka",1-2 gm,NS,Both,H,"Middle, Smriti and
Intellectual"
Trivritamul Churna / Trivrita Churna,API,25 gm,"Malabandha, Gulma, Udararoga",2-3gm,"Dehydrat ion, malnutrit ion,  long
term use",Both,H,"Stool, abdominal tumor, abdominal disease"
Vidanga Churna,API,50 gm,"Krimiroga, Medoroga",5-10  gm,"May prevent or disrupt
conception",Both,H,"Worm, obesity"
Yashtimadhu/ Madhuyashti/ Yashti Churna,API,50 gm,"Rasayana,Kasa, Shvasa, Vranaropana, Kshaya, Svarbheda",Up to 12 gm,"Obesity, hypertensio
n, oedema, long term use",Both,H,"rejuvenation therapy, cough, Breathing, Ulceration, phthisis, Vowel"
Anutaila,AFI,10 ml,"Urdhvajatrugataroga,
Palitya","2-10 drops for  nasal
administration",NS,Both,I,"Vertical, premature graying"
"Apamargkshara
Taila",AFI,10 ml,"Badhirya, Karnanada,
Karnagutha",2-5 drops in each ear,NS,Both,I,"deafness, Karnanada, Causal"
Bala Taila,AFI,50 ml,"Kshata,Kshaya, Vatavyadhi, Shosha,
Gulma",For Abhyanga,NS,Both,I,"Disadvantage, phthisis, nervous disorders, emaciation, abdominal tumor"
"Balashvagandhadi
Taila",AH,50 ml,Balaroga,For Jwara,NS,Both,I,pediatric diseases
Bhringaraja Tail,BR,50 ml,"Keshapata, Shiroroga, Khalitya, Indralupta","For Nasya, Shiroabhyanga,
Kavalgraha",NS,Both,I,"Hairstyle, headache, baldness, Indralupt"
"Dhanvantar Taila/Dhanvantar
Taila Avarti",AFI,10 ml,"Vataroga, Pakshavadha, Dhatukshaya,
Sutikaroga, Balaroga",10-30 drops for internal use,Amadosh a,Both,I,"Arthritis, Sidewalk, Metallic, Sorialism, pediatric diseases"
Eranda Taila,CD,50 ml,"Vatavikara,Gridhrasi, Vibandha, Katishula",10-30 ml,"Peri- conceptio n period, long term use in
pregnancy",Both,I,"Gout, sciatica, Bibban, Sculpture"
Erimedadi Taila,AFI,25 ml,"Mukha Roga , Dantaroga","For Kavalgraha, Pratisarana, Nasya,
Shirodharana",NS,Both,I,"Oral disease, Dantog"
Gandharvahasta Taila,AFI,50 ml,"Vidradhi, Udara, Mahavataroga, Gulma,
Udavarta",6-12 ml,"Ajirna, Amavast
ha",Both,I,"abscess, Dawn, Mahavataroga, abdominal tumor, upward movement of vata"
Jatyadi Taila,AFI,25 ml,"Vrana, Vranashotha","Application on wound
or injury",NS,Both,I,"Otherwise, Ulceration"
Kshirbala Taila / Kshirbala Taila Avarti (Shatapaki),AFI,50 ml,"Vatarakta, Vataroga, Sukradosha, Rajodosha, Karshya","Internal  use: 10-
12 ml External use:
Abhyanga and Nasya",NS,Both,I,"gout, Arthritis, Somnosity, Rajodosh, Karm"
"Kottamachukkadi
Taila",AFI,50 ml,"Vataroga, Amavata,
Angasthambha",For Abhyanga,NS,Both,I,"Arthritis, rheumatoid arthritis, Embroidery"
Karpuradi Taila,SY,50 ml,"Khalli, Angavedana,
Sandhivedana",For Abhyanga,NS,Both,I,"Empty, Fingers, Rheumatism"
Kasisadi Taila,AFI,25 ml,Arsha,"External use for
Arshankura",NS,Both,I,piles
"Laghuvishagarbha
Taila",AFI,50 ml,"Vataroga, Pakshaghat,",For Abhyanga,NS,Both,I,"Arthritis, Paralysis, "
Marichyadi Taila,AFI,25 ml,"Kandu, Vicharchika","Application on
affected part",NS,Both,I,"Kandu, eczema"
Mahanarayan Taila,AFI,50 ml,"Vataroga, Pakshaghata,
Ardita, Vandhyatva","For Abhyanga, Nasya,
Anuvasana Vasti",NS,Both,I,"Arthritis, hemiplegia, facial paralysis, infertility"
"Brihanmasha Taila
/Mahamash Taila",AFI,50 ml,"Ardita , Shirokampa, Vidradhi, Bahushosha,
Avabahuka",For Abhyanga,NS,Both,I,"facial paralysis, Shirokampa, abscess, Multiplication, Darbhuka"
Murivenna Tail,SY,50 ml,"Abhighataja Vedana
and Vata Vikara",For Abhyanga,NS,Both,I,"Glory
End Vata Vikra"
Narayana Taila,AFI,50 ml,"Vataroga, Pangu, Shirogatavata, Manyastambha,
Hanustambha","Internal  use: 6 gm External use: f Nasya, Abhyanga and
Anuvasana Vasti",NS,Both,I,"Arthritis, Pangu, Shirogatavata, Certification, Hanostabha"
Nalpamaradi Taila,AFI,25 ml,"Tvakroga, Kushta,
Pama, Kandu","For  Pratisarana,
Abhyanga",NS,Both,I,"Torrent, Leprosy, Pama, Kandu"
Nirgundi Taila,BR,25 ml,"Nadivrana, Pama, Apachi, Gandamala, Galaganda","Internal  use: 15- 30 ml
External use: Abhyanga and 2-6 drops for Nasya or
Karnapuran",NS,Both,I,"Nandirana, Pama, Uttar, scrofula, goiter"
Panchaguna Taila,AFI,50 ml,"Sandhigatvata, Karnashula,Vrana","For Abhyanga, wound dressing Karnapurana
or Karnabindu",NS,Both,I,"Treaty, earache, Otherwise"
Pinda Taila,AFI,50 ml,"Vataraktaruja, Daha","Used externally for
Abhyanga",NS,Both,I,"Aero, burning sensation"
Prasarini Taila,AFI,50 ml,"Vataroga,Gridhrasi, Khanja, Panguvata",For Abhyanga over affected body part,"Not to be used in Guda roga, Krisha rogi, Ajirna, Vamit, Kritnasy a,
Virikta",IPD,I,"Arthritis, sciatica, Khanja, Pangwata"
Sahacharadi Taila/ Brihatsahcharadi Taila,AFI,50 ml,"Vatavyadhi, Kampa, Unmada, Pinasa, Yoniroga, Akshepa","Internal  use: 6-12 ml
External use for Abhyanga",NS,IPD,I,"nervous disorders, Kapa, insanity, chronic rhinitis, Vaginal disease, Objection"
Saindhavadi Taila,AFI,50 ml,"Kaphavataja Nadivrana,",For Abhyanga,NS,IPD,I,"Kafavatja river, "
Shadabindu Taila,AFI,10 ml,"Drishtidaurbalya, Keshashata, Shiroroga,","For Nasya, Kavalgraha,
Abhyanga, Shiroabhyanga",NS,IPD,I,"Vision, Puffiness, headache, "
"Somaraji Taila
/Bakuchi Taila",AFI,25 ml,"Shvitra, Kushtha",For local application on affected body part,"Discontinue if excessive irritation, vescication, extensive hyperpigmentation
appears",Both,I,"Splash, skin disease"
Apamarga Kshar,AFI,10 gm,"Gulma, Grahani, Shvasa,
Sharkara, Ashmari",125-500 mg,NS,Both,J,"abdominal tumor, irritable bowel syndrome, Breathing, Sugary, kidney stones"
Yavakshar,AFI,10 gm,"Adhamana, Anaha,
Gulma, Mutrakricchra",500 mg - 1 gm,NS,Both,J,"Unseen, bloating, abdominal tumor, Urinary"
Ksharsutra,CD,"30
Cm thread of 20
No","Bhagandara, Arsha, Nadivrana, Charmkila",To be applied on affected part,NS,IPD,J,"fistula, piles, Nandirana, Leather"
Dashanga Lepa,AFI,50 gm,"Visarpa, Sthanika
Shotha, Kushtha","To apply on affected
part",NS,Both,K,"erysipelas, Location
Shrota, skin disease"
Shveta Malaham,AFI,25gm,Agnidagdha,"To apply on affected
part",NS,Both,K,Agnidgdha
Sarjarasa Malahara,RTSSP S,25 gm,"Dushta Vrana, Arsha,
Gudapaka, Vidarika","To apply on affected
part",NS,Both,K,"Wicked or else, piles, Jaggery, Vidarika"
Abhayadi Modakam,SS,20 gm,Malabandha,2-4 modakam,NS,Both,L,Stool
Bilvadi Gutika,AFI,5 gm,"Vishuchika, Ajirna,
Garadosha, Jvara",1-2 pills,NS,Both,L,"Poisonous, indigestion, Garadosha, fever"
Chandraprabha Vati,AFI,5 gm,"Prameha, Mutrakricchra, Mutraghata, Ashmari, Striroga, Daurbalya,
Pandu, Kamala",250 mg,NS,Both,L,"diabetes, Urinary, Urinary, kidney stones, Gynaecology, Richness, anemia, jaundice"
Chitrakadi Gutika,AFI,5 gm,"Agnimandya, Amadosha, Grahaniroga",250-500 mg,"Pregnancy, Uterine bleeding, Pitta Prakriti, Raktpittaj Roga, long
term use",Both,L,"Fire, Infrastructure, Reception"
Dhanvantar Gutika,AFI,5 gm,"Kasa, Shvasa, Hridroga,
Yakshma,Hikka",250 -500 mg,NS,Both,L,"cough, Breathing, heart disease, Tuberculosis, hiccups"
