Name,Description,Duration,Instructions,,,,,,,,,Issue
Breath and Open Awareness Meditation,Involves focusing on the breath and open awareness of thoughts and sensations to promote relaxation and mindfulness.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath, while also allowing thoughts and sensations to come and go without judgement.",,,,,,,,,Lack of Connection with the Body
Singing Bowl Meditation,Involves listening to the sound of a singing bowl to promote relaxation and focus.,10-30 minutes,"Sit in a comfortable position with your eyes closed and listen to the sound of a singing bowl, focusing on the vibrations and sensations in your body.",,,,,,,,,Difficulty with Self-Love
Body Scan and Loving-Kindness Meditation,Involves combining body scan and loving-kindness techniques to promote relaxation and compassion.,10-30 minutes,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, while also sending feelings of love and compassion towards yourself and others.",,,,,,,,,Lack of Connection with the Universe
Breath and Movement Meditation,Involves combining breath awareness and gentle movement to promote relaxation and mindfulness.,10-30 minutes,"Sit or stand in a comfortable position and focus on your breath, while also gently moving your body in a way that feels good.",,,,,,,,,Difficulty with Emotional Healing
Gratitude Visualization Meditation,Involves visualizing things you are grateful for to promote positivity and well-being.,10-30 minutes,"Sit in a comfortable position with your eyes closed and visualize things you are grateful for, focusing on the emotions associated with gratitude.",,,,,,,,,Lack of Connection with the Breath
Loving-Kindness Meditation,Involves sending feelings of love and compassion towards oneself and others to promote well-being.,10-30 minutes,Sit in a comfortable position with your eyes closed and focus on sending feelings of love and compassion towards yourself and others.,,,,,,,,,Difficulty with Self-Awareness
Breath and Body Awareness with Mantra Meditation,Involves combining breath and body awareness with a mantra to promote relaxation and focus.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body, while also repeating a mantra to yourself.",,,,,,,,,Lack of Connection with the Heart
Relaxation Meditation,Involves promoting relaxation in the body and mind through various techniques such as progressive muscle relaxation and visualization.,10-30 minutes,Lie down or sit in a comfortable position with your eyes closed and practice various relaxation techniques such as progressive muscle relaxation and visualization.,,,,,,,,,Difficulty with Emotional Balance
Self-Compassion Meditation,Involves cultivating feelings of self-compassion and acceptance to promote well-being.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on sending feelings of love, compassion, and acceptance towards yourself.",,,,,,,,,Lack of Connection with the Mind
Breath and Loving-Kindness in Community Meditation,Involves combining breath awareness and loving-kindness meditation with the idea of community to promote connection and positivity.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath, while also sending feelings of love and compassion towards yourself and the community.",,,,,,,,,Difficulty with Self-Reflection
Gratitude and Loving-Kindness Meditation,Involves combining gratitude and loving-kindness techniques to promote positivity and well-being.,10-30 minutes,Sit in a comfortable position with your eyes closed and focus on sending feelings of love and gratitude towards yourself and others.,,,,,,,,,Lack of Connection with the Soul
Breath and Body Awareness with Chakra Meditation,Involves combining breath and body awareness with the concept of chakras to promote relaxation and balance.,10-30 minutes,"Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body, while also visualizing the energy centers in your body known as chakras.",,,,,,,,,Difficulty with Emotional Clarity
Mindful Eating Meditation,Involves practicing mindfulness while eating to promote awareness and enjoyment of food.,10-30 minutes,"Choose a food to eat mindfully, focusing on the taste, texture, and sensations in your body while eating.",,,,,,,,,Lack of Connection with the Earth
Compassionate Self-Talk Meditation,Involves cultivating positive self-talk and self-compassion to promote well-being.,10-30 minutes,Sit in a comfortable position with your eyes closed and focus on cultivating positive self-talk and sending feelings of self-compassion towards yourself.,,,,,,,,,Difficulty with Self-Acceptance
